Time,Lon,Lat,Alt,CPA,flight1,flight2
2021-05-20T07:21:32Z,1.8964701839612,41.5157621257878,224.10044653668,3.1001910984229,AM1228,AM1309
2021-05-20T09:41:16Z,1.8964701839612,41.5157621257878,258.613675725001,1.06632166005585,AM1198,CO1848
2021-05-20T10:43:42Z,1.9016091137049,41.4894662626489,156.7,0,AM1574,CO1652
2021-05-20T10:47:49Z,1.89178226656436,41.5165715817594,291.789173688921,16.3500302453862,AM1162,CO1947
2021-05-20T11:44:55Z,1.8964701839612,41.5157621257878,193.815143948696,1.54159449766925,AM1107,CO1941
2021-05-20T11:51:52Z,1.8964701839612,41.5157621257878,202.779700051589,1.27971296803594,AM1183,CO1851
2021-05-20T12:12:18Z,1.9016091137049,41.4894662626489,183.250628670583,4.34954437101234,AM1056,AM1441
2021-05-20T12:23:07Z,1.9016091137049,41.4894662626489,258.696792222341,1.54963252023606,AM1441,UB1965
2021-05-20T12:50:14Z,1.89129252359219,41.5163910865436,285.807915047932,2.57380712240052,CO1814,UB2046
2021-05-20T12:50:40Z,1.8964701839612,41.5157621257878,208.699745212818,4.2030958565872,AM1252,CO1830
2021-05-20T12:59:04Z,1.901491942695,41.4895337232107,268.252720401228,14.3907380996443,AM1125,CO1890
2021-05-20T13:33:51Z,1.8964701839612,41.5157621257878,170,4.97573507396498,AM1264,AM1348
2021-05-20T14:09:04Z,1.88862960540103,41.4993353117456,277.787971179378,3.68932789446882,AM1240,AM1273
2021-05-20T14:25:44Z,1.88862960540103,41.4993353117456,305.785595120604,1.2396105771416,AM1420,CO1914
2021-05-20T14:26:17Z,1.88862960540103,41.4993353117456,244.392933335937,2.24302692400585,AM1068,AM1420
2021-05-20T14:27:30Z,1.8964701839612,41.5157621257878,214.879598910312,2.57915356291548,AM1484,WI1595
2021-05-20T14:29:47Z,1.8964701839612,41.5157621257878,225.387390227264,3.36315528068226,WI1595,UB2019
2021-05-20T14:31:26Z,1.88862960540103,41.4993353117456,294.995918944526,8.37856474235831,CO1914,UB1971
2021-05-20T14:39:36Z,1.8964701839612,41.5157621257878,233.206205438406,2.7559862010792,AM1128,CO1703
2021-05-20T14:48:28Z,1.8964701839612,41.5157621257878,249.648772238722,0.950003539706643,AM1083,AM1381
2021-05-20T15:04:16Z,1.89129252359219,41.5163910865436,291.000259527705,9.96439566371789,AM1216,CO1697
2021-05-20T15:48:37Z,1.89129252359219,41.5163910865436,277.102920853394,0.715421103274252,AM1186,CO1938
2021-05-20T15:52:42Z,1.9016091137049,41.4894662626489,222.481605143176,0.518290149245161,AM1140,AM1276
2021-05-20T16:06:06Z,1.8964701839612,41.5157621257878,269.652337659894,4.05111530920539,AM1360,WI1607
2021-05-20T16:09:02Z,1.8964701839612,41.5157621257878,267.480344258938,3.31312223211626,AM1267,AM1589
2021-05-20T16:16:53Z,1.9016091137049,41.4894662626489,240.186532771767,3.834318815328,AM1008,AM1023
2021-05-20T16:18:15Z,1.8964701839612,41.5157621257878,247.973833309435,4.40224736858477,AM1285,CO1863
2021-05-20T16:31:01Z,1.9016091137049,41.4894662626489,215.399133788671,0.779813666084152,AM1577,CO1772
2021-05-20T17:20:25Z,1.9016091137049,41.4894662626489,179.984862477203,0.934464810512878,AM1180,UB1974
2021-05-20T17:27:03Z,1.88862960540103,41.4993353117456,231.959251542846,0.343910707295976,AM1351,CO1730
2021-05-20T17:31:42Z,1.89129252359219,41.5163910865436,193.8,0,AM1032,CO1956
2021-05-20T17:38:45Z,1.89129252359219,41.5163910865436,257.37480861021,18.9077072416566,AM1303,AM1547
2021-05-20T18:05:08Z,1.9016091137049,41.4894662626489,214.467189010118,5.31926979168822,CO1667,CO1950
2021-05-20T18:05:39Z,1.9016091137049,41.4894662626489,225.299753847123,4.24917650063759,AM1324,CO1950
2021-05-20T18:22:48Z,1.9016091137049,41.4894662626489,246.969683655317,0.629337222877865,CO1664,CO1781
2021-05-20T18:27:12Z,1.89129252359219,41.5163910865436,193.8,0,AM1291,CO1953
2021-05-20T18:52:02Z,1.89129252359219,41.5163910865436,193.8,0,AM1432,CO1821
2021-05-20T18:52:07Z,1.89129252359219,41.5163910865436,216.899575660478,1.28100546696683,AM1432,WI1598
2021-05-20T19:38:17Z,1.88862960540103,41.4993353117456,295.582764680583,2.58489467323983,AM1050,AM1062
2021-05-20T19:57:04Z,1.9016091137049,41.4894662626489,203.29919315637,4.5514712131673,AM1499,CO1808
